x, y, trajectory_l, trajectory_r
58.54372135913146, 71.35718926862174, 58.54372135913146, 80.42285899824701
59.80945969664898, 76.88776873438631, 59.80945969664898, 80.89379184200372
57.92325245400958, 68.59850895143137, 57.92325245400958, 80.32284983080464
56.57239271526692, 67.61121604217035, 56.57239271526692, 80.00034271526691
57.74556488745473, 68.42082138487652, 57.74556488745473, 80.14516226424979
59.247774404761365, 73.4216852171055, 59.247774404761365, 80.85105258239304
56.772589360616294, 67.81141268751973, 56.772589360616294, 80.20053936061629
58.99432430759505, 73.16823511993918, 58.99432430759505, 80.59760248522672
56.93742105105982, 69.12233613031714, 56.93742105105982, 80.36537105105982
57.119647127119755, 69.30456220637707, 57.119647127119755, 80.54759712711974
58.34045419095581, 70.13857454544609, 58.34045419095581, 80.54069909959152
57.03719752484051, 69.22211260409782, 57.03719752484051, 80.4651475248405
58.786946605832, 71.60041451532227, 58.786946605832, 80.66608424494756
57.798328633091394, 68.47358513051319, 57.798328633091394, 80.19792600988646
58.00973267240693, 68.68498916982873, 58.00973267240693, 80.409330049202
59.00994462812965, 73.18385544047379, 59.00994462812965, 80.61322280576132
59.967037973351616, 77.04534701108895, 59.967037973351616, 81.05137011870636
59.12655230370957, 73.3004631160537, 59.12655230370957, 80.72983048134124
58.480186398929, 71.29365430841928, 58.480186398929, 80.35932403804455
56.74405794348406, 67.78288127038749, 56.74405794348406, 80.17200794348405
58.898356281487885, 73.07226709383202, 58.898356281487885, 80.50163445911956
56.69995043777563, 67.73877376467907, 56.69995043777563, 80.12790043777562
58.237008219950084, 70.03512857444036, 58.237008219950084, 80.4372531285858
59.74695826789979, 76.82526730563713, 59.74695826789979, 80.83129041325454
58.016318738888536, 68.69157523631033, 58.016318738888536, 80.4159161156836
59.03508083463306, 73.2089916469772, 59.03508083463306, 80.63835901226473
57.17429766627253, 69.35921274552985, 57.17429766627253, 80.60224766627253
57.4698570580943, 70.6701196923516, 57.4698570580943, 80.8978070580943
58.60756667254231, 71.42103458203259, 58.60756667254231, 80.48670431165786
58.47748884750717, 71.29095675699745, 58.47748884750717, 80.35662648662272
58.02470811411085, 68.69996461153265, 58.02470811411085, 80.42430549090591
59.81609386800705, 76.89440290574439, 59.81609386800705, 80.9004260133618
57.8377457111538, 68.5130022085756, 57.8377457111538, 80.23734308794886
58.09927851717896, 69.89739887166925, 58.09927851717896, 80.29952342581468
58.71146622781841, 71.52493413730869, 58.71146622781841, 80.59060386693396
56.80948500992833, 67.84830833683176, 56.80948500992833, 80.23743500992832
58.758959851925, 71.57242776141528, 58.758959851925, 80.63809749104054
58.93344975843722, 73.10736057078135, 58.93344975843722, 80.53672793606889
58.82842061799908, 71.64188852748936, 58.82842061799908, 80.70755825711463
59.83947161047868, 76.91778064821601, 59.83947161047868, 80.92380375583342
59.60243103575167, 76.680740073489, 59.60243103575167, 80.68676318110641
58.5029764206514, 71.31644433014168, 58.5029764206514, 80.38211405976695
57.71814666733675, 68.39340316475854, 57.71814666733675, 80.11774404413181
57.55586992221536, 68.23112641963715, 57.55586992221536, 79.95546729901042
58.17134961180794, 69.96946996629822, 58.17134961180794, 80.37159452044365
58.18231553668155, 69.98043589117184, 58.18231553668155, 80.38256044531727
58.12690924740278, 69.92502960189307, 58.12690924740278, 80.3271541560385
56.76649131256145, 67.80531463946488, 56.76649131256145, 80.19444131256144
58.79654070668175, 71.61000861617204, 58.79654070668175, 80.6756783457973
57.25124689361185, 69.43616197286916, 57.25124689361185, 80.67919689361185
57.61521069441441, 68.2904671918362, 57.61521069441441, 80.01480807120947
58.86729849569968, 73.04120930804382, 58.86729849569968, 80.47057667333135
58.0412542126531, 68.7165107100749, 58.0412542126531, 80.44085158944816
58.33207083593596, 70.13019119042625, 58.33207083593596, 80.53231574457168
59.922518917887494, 77.00082795562483, 59.922518917887494, 81.00685106324224
59.612927676732916, 76.69123671447025, 59.612927676732916, 80.69725982208766
59.95002163292554, 77.02833067066287, 59.95002163292554, 81.03435377828028
59.692045632103415, 76.77035466984076, 59.692045632103415, 80.77637777745817
60.21451776605844, 78.84037680379579, 60.21451776605844, 81.20366925374204
58.484411730888866, 71.29787964037915, 58.484411730888866, 80.3635493700044
58.834912069711095, 71.64837997920138, 58.834912069711095, 80.71404970882664
58.470040686261704, 71.28350859575198, 58.470040686261704, 80.34917832537725
60.43756348581515, 81.06968666287824, 60.43756348581515, 81.06968666287824
57.731722440448635, 68.40697893787042, 57.731722440448635, 80.13131981724369
58.26897394356947, 70.06709429805976, 58.26897394356947, 80.46921885220519
59.229209724793115, 73.40312053713726, 59.229209724793115, 80.83248790242479
58.14426647598991, 69.94238683048019, 58.14426647598991, 80.34451138462562
58.441959477293366, 71.25542738678364, 58.441959477293366, 80.32109711640892
58.316555030811514, 70.11467538530181, 58.316555030811514, 80.51679993944724
57.70924214012498, 68.38449863754677, 57.70924214012498, 80.10883951692004
57.88457122489257, 68.55982772231435, 57.88457122489257, 80.28416860168763
57.12276192448908, 69.30767700374639, 57.12276192448908, 80.55071192448908
59.95292960885012, 77.03123864658745, 59.95292960885012, 81.03726175420486
59.053034686583075, 73.22694549892721, 59.053034686583075, 80.65631286421474
59.596571449259905, 76.67488048699724, 59.596571449259905, 80.68090359461465
58.64775887997333, 71.46122678946361, 58.64775887997333, 80.52689651908888
59.04667567246534, 73.22058648480949, 59.04667567246534, 80.64995385009702
57.425130464990836, 70.62539309924814, 57.425130464990836, 80.85308046499084
56.636863703320635, 67.67568703022407, 56.636863703320635, 80.06481370332064
58.227553356194605, 70.02567371068488, 58.227553356194605, 80.42779826483032
58.497740742223314, 71.31120865171359, 58.497740742223314, 80.37687838133887
59.283809774768315, 74.71123608711247, 59.283809774768315, 80.6945336499723
58.55032307781351, 71.36379098730379, 58.55032307781351, 80.42946071692906
59.271093067170725, 73.44500387951486, 59.271093067170725, 80.87437124480239
59.71449320442536, 76.7928022421627, 59.71449320442536, 80.7988253497801
57.39278264812516, 70.59304528238248, 57.39278264812516, 80.82073264812516
59.07606278999588, 73.24997360234002, 59.07606278999588, 80.67934096762755
56.92365368446239, 69.1085687637197, 56.92365368446239, 80.35160368446238
59.81113608542167, 76.889445123159, 59.81113608542167, 80.89546823077642
59.86097832033473, 76.93928735807206, 59.86097832033473, 80.94531046568947
59.12486499638617, 73.29877580873031, 59.12486499638617, 80.72814317401784
59.67191890009448, 76.75022793783181, 59.67191890009448, 80.75625104544922
